pt_graph met
263 15
285 15
309 15
385 15
404 15
409 15
429 15
433 15
458 15
476 15
481 15
505 15
506 15
530 15
531 15
555 15
556 15
582 15
805 15
807 15
836 15
870 15
3861 15
5830 15
5871 15
29805 15
30992 15
31089 15
31098 15
31100 15
31184 15
31187 15
31188 15
31194 15
31281 15
31282 15
31289 15
31290 15
31291 15
31377 15
31475 15
31479 15
31480 15
31481 15
31482 15
31573 15
31583 15
31584 15
31687 15
31902 15
32110 15
32220 15
32330 15
32332 15
32440 15
32453 15
32780 15
33535 15
33954 15
34340 15
35775 15
36287 15
36291 15
36331 15
36349 15
36387 15
36413 15
36425 15
36449 15
36485 15
36487 15
36514 15
36523 15
36524 15
36538 15
36561 15
36998 15
37678 15
