pt_graph met
5984 10
5984 11
5985 10
5985 11
6024 10
6024 11
6100 10
6100 11
6175 10
6175 11
6176 10
6176 11
6213 10
6213 11
6214 10
6214 11
6253 10
6253 11
6290 10
6290 11
6293 10
6293 11
6294 10
6294 11
6332 10
6332 11
6333 10
6333 11
6334 10
6334 11
6364 10
6364 11
6371 10
6371 11
6372 10
6372 11
6373 10
6373 11
6374 10
6374 11
6375 10
6375 11
6377 10
6377 11
6409 10
6409 11
6410 10
6410 11
6411 10
6411 11
6412 10
6412 11
6414 10
6414 11
6449 10
6449 11
6450 10
6450 11
6452 10
6452 11
6453 10
6453 11
6454 10
6454 11
6455 10
6455 11
6456 10
6456 11
6490 10
6490 11
6494 10
6494 11
6495 10
6495 11
6496 10
6496 11
6497 10
6497 11
6498 10
6498 11
6524 10
6524 11
6527 10
6527 11
6530 10
6530 11
6531 10
6531 11
6533 10
6533 11
6535 10
6535 11
6536 10
6536 11
6537 10
6537 11
6538 10
6538 11
6546 10
6546 11
6568 10
6568 11
6573 10
6573 11
6574 10
6574 11
6575 10
6575 11
6576 10
6576 11
6579 10
6579 11
6581 10
6581 11
6582 10
6582 11
6583 10
6583 11
6584 10
6584 11
6606 10
6606 11
6607 10
6607 11
6612 10
6612 11
6613 10
6613 11
6614 10
6614 11
6615 10
6615 11
6616 10
6616 11
6617 10
6617 11
6620 10
6620 11
6621 10
6621 11
6644 10
6644 11
6645 10
6645 11
6646 10
6646 11
6651 10
6651 11
6653 10
6653 11
6654 10
6654 11
6655 10
6655 11
6658 10
6658 11
6659 10
6659 11
6660 10
6660 11
6685 10
6685 11
6687 10
6687 11
6688 10
6688 11
6693 10
6693 11
6694 10
6694 11
6695 10
6695 11
6696 10
6696 11
6697 10
6697 11
6699 10
6699 11
6700 10
6700 11
6702 10
6702 11
6721 10
6721 11
6724 10
6724 11
6728 10
6728 11
6731 10
6731 11
6732 10
6732 11
6733 10
6733 11
6734 10
6734 11
6735 10
6735 11
6736 10
6736 11
6738 10
6738 11
6739 10
6739 11
6760 10
6760 11
6761 10
6761 11
6765 10
6765 11
6769 10
6769 11
6771 10
6771 11
6774 10
6774 11
6775 10
6775 11
6779 10
6779 11
6795 10
6795 11
6797 10
6797 11
6807 10
6807 11
6808 10
6808 11
6809 10
6809 11
6834 10
6834 11
6835 10
6835 11
6836 10
6836 11
6840 10
6840 11
6844 10
6844 11
6845 10
6845 11
6846 10
6846 11
6872 10
6872 11
6874 10
6874 11
6879 10
6879 11
6884 10
6884 11
6885 10
6885 11
6912 10
6912 11
6914 10
6914 11
7412 10
7412 11
7761 10
7761 11
7762 10
7762 11
7825 10
7825 11
7834 10
7834 11
7898 10
7898 11
7905 10
7905 11
7906 10
7906 11
7907 10
7907 11
7973 10
7973 11
7980 10
7980 11
7981 10
7981 11
8054 10
8054 11
8055 10
8055 11
8132 10
8132 11
8133 10
8133 11
8214 10
8214 11
8215 10
8215 11
8302 10
8302 11
8303 10
8303 11
8392 10
8392 11
8394 10
8394 11
8395 10
8395 11
8489 10
8489 11
8490 10
8490 11
8579 10
8579 11
8585 10
8585 11
8586 10
8586 11
8587 10
8587 11
8690 10
8690 11
8691 10
8691 11
8692 10
8692 11
8798 10
8798 11
8799 10
8799 11
8800 10
8800 11
8803 10
8803 11
8910 10
8910 11
8911 10
8911 11
8912 10
8912 11
8913 10
8913 11
9026 10
9026 11
9027 10
9027 11
9028 10
9028 11
9143 10
9143 11
9144 10
9144 11
9145 10
9145 11
9146 10
9146 11
9264 10
9264 11
9267 10
9267 11
9387 10
9387 11
9388 10
9388 11
9389 10
9389 11
9390 10
9390 11
9511 10
9511 11
9512 10
9512 11
9513 10
9513 11
9633 10
9633 11
9634 10
9634 11
9635 10
9635 11
9752 10
9752 11
10374 10
10374 11
10622 10
10622 11
10741 10
10741 11
10742 10
10742 11
10861 10
10861 11
10862 10
10862 11
10863 10
10863 11
10981 10
10981 11
10982 10
10982 11
10983 10
10983 11
10984 10
10984 11
10991 10
10991 11
11106 10
11106 11
11111 10
11111 11
11112 10
11112 11
11232 10
11232 11
11233 10
11233 11
11234 10
11234 11
11235 10
11235 11
11238 10
11238 11
11239 10
11239 11
11356 10
11356 11
11364 10
11364 11
11365 10
11365 11
11368 10
11368 11
11369 10
11369 11
11373 10
11373 11
11502 10
11502 11
11504 10
11504 11
11505 10
11505 11
11508 10
11508 11
11509 10
11509 11
11510 10
11510 11
11518 10
11518 11
11645 10
11645 11
11646 10
11646 11
11647 10
11647 11
11649 10
11649 11
11650 10
11650 11
11652 10
11652 11
11653 10
11653 11
11654 10
11654 11
11655 10
11655 11
11656 10
11656 11
11783 10
11783 11
11784 10
11784 11
11786 10
11786 11
11787 10
11787 11
11788 10
11788 11
11789 10
11789 11
11790 10
11790 11
11791 10
11791 11
11792 10
11792 11
11794 10
11794 11
11926 10
11926 11
11927 10
11927 11
11928 10
11928 11
11929 10
11929 11
11930 10
11930 11
11931 10
11931 11
11932 10
11932 11
11933 10
11933 11
11934 10
11934 11
11935 10
11935 11
11936 10
11936 11
11937 10
11937 11
11939 10
11939 11
11942 10
11942 11
12078 10
12078 11
12079 10
12079 11
12080 10
12080 11
12081 10
12081 11
12083 10
12083 11
12085 10
12085 11
12086 10
12086 11
12087 10
12087 11
12088 10
12088 11
12089 10
12089 11
12090 10
12090 11
12091 10
12091 11
12092 10
12092 11
12093 10
12093 11
12094 10
12094 11
12096 10
12096 11
12097 10
12097 11
12101 10
12101 11
12232 10
12232 11
12233 10
12233 11
12234 10
12234 11
12237 10
12237 11
12241 10
12241 11
12242 10
12242 11
12243 10
12243 11
12244 10
12244 11
12245 10
12245 11
12246 10
12246 11
12247 10
12247 11
12248 10
12248 11
12249 10
12249 11
12257 10
12257 11
12396 10
12396 11
12397 10
12397 11
12398 10
12398 11
12404 10
12404 11
12405 10
12405 11
12406 10
12406 11
12408 10
12408 11
12409 10
12409 11
12410 10
12410 11
12411 10
12411 11
12412 10
12412 11
12413 10
12413 11
12414 10
12414 11
12415 10
12415 11
12419 10
12419 11
12421 10
12421 11
12568 10
12568 11
12572 10
12572 11
12573 10
12573 11
12574 10
12574 11
12575 10
12575 11
12576 10
12576 11
12577 10
12577 11
12578 10
12578 11
12579 10
12579 11
12583 10
12583 11
12584 10
12584 11
12585 10
12585 11
12742 10
12742 11
12743 10
12743 11
12745 10
12745 11
12746 10
12746 11
12747 10
12747 11
12749 10
12749 11
12754 10
12754 11
12915 10
12915 11
12916 10
12916 11
13098 10
13098 11
13771 10
13771 11
13775 10
13775 11
17504 10
17504 11
17853 10
17853 11
18023 10
18023 11
18031 10
18031 11
18918 10
18918 11
37428 10
37428 11
