pt_graph freq
1664 1
1665 1
1666 1
1755 1
1756 1
1850 1
1920 1
1940 1
1997 1
2035 1
2036 1
2037 1
2039 1
2090 1
2130 1
2131 1
2133 1
2186 1
2202 1
2227 1
2229 1
2273 1
2315 1
2316 1
2318 1
2406 1
2407 1
2408 1
2409 1
2491 1
2492 1
2493 1
2494 1
2575 1
2576 1
2577 1
2578 1
2579 1
2629 1
2651 1
2652 1
2653 1
2654 1
2655 1
2718 1
2719 1
2723 1
2724 1
2725 1
2726 1
2763 1
2786 1
2793 1
2794 1
2795 1
2796 1
2799 1
2858 1
2863 1
2864 1
2865 1
2866 1
2867 1
2923 1
2925 1
2927 1
2930 1
2931 1
2932 1
2988 1
2990 1
2992 1
3047 1
3049 1
3050 1
3051 1
3054 1
3056 1
3107 1
3108 1
3109 1
3155 1
3157 1
3161 1
3162 1
3209 1
3213 1
3214 1
3247 1
3266 1
3267 1
3268 1
3323 1
3327 1
3328 1
3332 1
3333 1
3374 1
3375 1
3378 1
3425 1
3461 1
3469 1
3499 1
3502 1
3503 1
3504 1
3507 1
3534 1
3540 1
3541 1
3579 1
3581 1
3582 1
3584 1
3617 1
3620 1
3622 1
3623 1
3625 1
3660 1
3661 1
3663 1
3664 1
3665 1
3666 1
3703 1
3739 1
