pt_graph met
6563 14
6563 15
6919 14
6919 15
6969 14
6969 15
6983 14
6983 15
7044 14
7044 15
7115 14
7115 15
7122 14
7122 15
7188 14
7188 15
7195 14
7195 15
7196 14
7196 15
7197 14
7197 15
7270 14
7270 15
7271 14
7271 15
7337 14
7337 15
7344 14
7344 15
7345 14
7345 15
7414 14
7414 15
7422 14
7422 15
7423 14
7423 15
7495 14
7495 15
7499 14
7499 15
7504 14
7504 15
7505 14
7505 15
7592 14
7592 15
7593 14
7593 15
7684 14
7684 15
7685 14
7685 15
7779 14
7779 15
7780 14
7780 15
7781 14
7781 15
7867 14
7867 15
7875 14
7875 15
7876 14
7876 15
7877 14
7877 15
7980 14
7980 15
7981 14
7981 15
7982 14
7982 15
7983 14
7983 15
8088 14
8088 15
8089 14
8089 15
8090 14
8090 15
8091 14
8091 15
8200 14
8200 15
8201 14
8201 15
8202 14
8202 15
8316 14
8316 15
8317 14
8317 15
8318 14
8318 15
8433 14
8433 15
8435 14
8435 15
8436 14
8436 15
8555 14
8555 15
8556 14
8556 15
8557 14
8557 15
8677 14
8677 15
8678 14
8678 15
8679 14
8679 15
8680 14
8680 15
8681 14
8681 15
8801 14
8801 15
8923 14
8923 15
8924 14
8924 15
8925 14
8925 15
9041 14
9041 15
9042 14
9042 15
9043 14
9043 15
9154 14
9154 15
9790 14
9790 15
9907 14
9907 15
9913 14
9913 15
10030 14
10030 15
10031 14
10031 15
10032 14
10032 15
10034 14
10034 15
10151 14
10151 15
10152 14
10152 15
10153 14
10153 15
10159 14
10159 15
10272 14
10272 15
10273 14
10273 15
10274 14
10274 15
10397 14
10397 15
10400 14
10400 15
10401 14
10401 15
10402 14
10402 15
10403 14
10403 15
10515 14
10515 15
10521 14
10521 15
10523 14
10523 15
10524 14
10524 15
10528 14
10528 15
10648 14
10648 15
10651 14
10651 15
10654 14
10654 15
10655 14
10655 15
10657 14
10657 15
10658 14
10658 15
10663 14
10663 15
10665 14
10665 15
10791 14
10791 15
10792 14
10792 15
10794 14
10794 15
10795 14
10795 15
10798 14
10798 15
10799 14
10799 15
10800 14
10800 15
10801 14
10801 15
10934 14
10934 15
10935 14
10935 15
10936 14
10936 15
10937 14
10937 15
10939 14
10939 15
10940 14
10940 15
10942 14
10942 15
10943 14
10943 15
10944 14
10944 15
10945 14
10945 15
10946 14
10946 15
11072 14
11072 15
11073 14
11073 15
11074 14
11074 15
11075 14
11075 15
11076 14
11076 15
11077 14
11077 15
11078 14
11078 15
11079 14
11079 15
11080 14
11080 15
11081 14
11081 15
11082 14
11082 15
11216 14
11216 15
11217 14
11217 15
11218 14
11218 15
11219 14
11219 15
11221 14
11221 15
11222 14
11222 15
11223 14
11223 15
11224 14
11224 15
11225 14
11225 15
11226 14
11226 15
11227 14
11227 15
11229 14
11229 15
11232 14
11232 15
11236 14
11236 15
11368 14
11368 15
11369 14
11369 15
11370 14
11370 15
11371 14
11371 15
11372 14
11372 15
11373 14
11373 15
11374 14
11374 15
11375 14
11375 15
11376 14
11376 15
11377 14
11377 15
11378 14
11378 15
11379 14
11379 15
11380 14
11380 15
11381 14
11381 15
11382 14
11382 15
11383 14
11383 15
11384 14
11384 15
11387 14
11387 15
11522 14
11522 15
11523 14
11523 15
11524 14
11524 15
11525 14
11525 15
11531 14
11531 15
11532 14
11532 15
11533 14
11533 15
11534 14
11534 15
11535 14
11535 15
11536 14
11536 15
11537 14
11537 15
11538 14
11538 15
11539 14
11539 15
11541 14
11541 15
11546 14
11546 15
11547 14
11547 15
11548 14
11548 15
11572 14
11572 15
11685 14
11685 15
11688 14
11688 15
11690 14
11690 15
11692 14
11692 15
11694 14
11694 15
11695 14
11695 15
11696 14
11696 15
11698 14
11698 15
11699 14
11699 15
11700 14
11700 15
11701 14
11701 15
11702 14
11702 15
11703 14
11703 15
11704 14
11704 15
11705 14
11705 15
11849 14
11849 15
11851 14
11851 15
11853 14
11853 15
11862 14
11862 15
11863 14
11863 15
11864 14
11864 15
11865 14
11865 15
11866 14
11866 15
11867 14
11867 15
11868 14
11868 15
11869 14
11869 15
12013 14
12013 15
12017 14
12017 15
12028 14
12028 15
12032 14
12032 15
12033 14
12033 15
12034 14
12034 15
12035 14
12035 15
12036 14
12036 15
12037 14
12037 15
12038 14
12038 15
12187 14
12187 15
12191 14
12191 15
12206 14
12206 15
12530 14
12530 15
12533 14
12533 15
12539 14
12539 15
12561 14
12561 15
12705 14
12705 15
12710 14
12710 15
12882 14
12882 15
14573 14
14573 15
16970 14
16970 15
17317 14
17317 15
17318 14
17318 15
17488 14
17488 15
17664 14
17664 15
19425 14
19425 15
19436 14
19436 15
19755 14
19755 15
20038 14
20038 15
20040 14
20040 15
20041 14
20041 15
20173 14
20173 15
